ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
iv60call,18.69,16.25,-0.11,-0.1
iv60call_iv90call,18.71,16.27,-0.11,-0.1
iv60call_iv90call_iv150call,19.51,16.89,-0.07,-0.06
iv60call_iv90call_iv150call_iv120call,19.32,16.74,-0.08,-0.07
iv60call_iv90call_iv150call_iv120call_iv180call,19.7,17.02,-0.06,-0.05
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP,20.82,17.79,-0.01,-0.01
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM,20.48,17.54,-0.03,-0.02
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call,20.38,17.48,-0.03,-0.03
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call,21.03,17.93,-0.0,-0.0
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM,20.68,17.7,-0.02,-0.02
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV,21.08,17.96,0.0,-0.0
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR,21.21,18.06,0.01,0.0
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD,20.94,17.87,-0.0,-0.01
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG,20.89,17.83,-0.01,-0.01
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG_CToiR,20.89,17.83,-0.01,-0.01
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG_CToiR_PCR,20.6,17.62,-0.02,-0.02
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG_CToiR_PCR_CVPoi,20.58,17.61,-0.02,-0.02
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG_CToiR_PCR_CVPoi_ToiTVR,20.61,17.63,-0.02,-0.02
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG_CToiR_PCR_CVPoi_ToiTVR_WMT,20.68,17.69,-0.02,-0.02
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG_CToiR_PCR_CVPoi_ToiTVR_WMT_MROI,20.42,17.54,-0.03,-0.02
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG_CToiR_PCR_CVPoi_ToiTVR_WMT_MROI_putvol,20.72,17.77,-0.01,-0.01
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG_CToiR_PCR_CVPoi_ToiTVR_WMT_MROI_putvol_callvol,20.78,17.81,-0.01,-0.01
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG_CToiR_PCR_CVPoi_ToiTVR_WMT_MROI_putvol_callvol_calloi,20.7,17.75,-0.02,-0.01
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG_CToiR_PCR_CVPoi_ToiTVR_WMT_MROI_putvol_callvol_calloi_totaloi,20.62,17.69,-0.02,-0.02
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG_CToiR_PCR_CVPoi_ToiTVR_WMT_MROI_putvol_callvol_calloi_totaloi_putoi,20.63,17.7,-0.02,-0.02
iv60call_iv90call_iv150call_iv120call_iv180call_WMEP_SM_iv30call_iv360call_SWM_WMV_CTVR_WMD_WMG_CToiR_PCR_CVPoi_ToiTVR_WMT_MROI_putvol_callvol_calloi_totaloi_putoi_totalvol,20.62,17.69,-0.02,-0.02
