ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
WMEP,49.97,38.5,-0.32,-0.4
WMEP_iv60call,47.73,36.84,-0.35,-0.43
WMEP_iv60call_iv30call,51.9,40.28,-0.3,-0.38
WMEP_iv60call_iv30call_iv90call,51.77,40.14,-0.3,-0.38
WMEP_iv60call_iv30call_iv90call_WMV,44.5,34.28,-0.4,-0.47
WMEP_iv60call_iv30call_iv90call_WMV_iv120call,44.34,34.13,-0.4,-0.47
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call,45.82,35.35,-0.38,-0.45
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call,45.84,35.36,-0.38,-0.45
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM,44.71,34.46,-0.4,-0.47
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD,48.22,37.25,-0.35,-0.42
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR,47.52,36.73,-0.36,-0.43
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR,46.69,36.07,-0.37,-0.44
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call,46.96,36.29,-0.37,-0.44
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol,50.22,39.12,-0.32,-0.39
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol_WMT,51.84,40.35,-0.3,-0.37
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol_WMT_CVPoi,51.73,40.26,-0.3,-0.38
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol_WMT_CVPoi_PCR,52.5,41.1,-0.29,-0.36
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol_WMT_CVPoi_PCR_SM,52.54,41.15,-0.29,-0.36
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol_WMT_CVPoi_PCR_SM_totalvol,46.02,35.59,-0.38,-0.45
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol_WMT_CVPoi_PCR_SM_totalvol_WMG,46.68,36.19,-0.37,-0.44
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol_WMT_CVPoi_PCR_SM_totalvol_WMG_putoi,46.61,36.06,-0.37,-0.44
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol_WMT_CVPoi_PCR_SM_totalvol_WMG_putoi_calloi,46.57,36.03,-0.37,-0.44
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol_WMT_CVPoi_PCR_SM_totalvol_WMG_putoi_calloi_ToiTVR,46.72,36.16,-0.37,-0.44
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol_WMT_CVPoi_PCR_SM_totalvol_WMG_putoi_calloi_ToiTVR_MROI,46.66,36.11,-0.37,-0.44
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol_WMT_CVPoi_PCR_SM_totalvol_WMG_putoi_calloi_ToiTVR_MROI_putvol,46.61,36.04,-0.37,-0.44
WMEP_iv60call_iv30call_iv90call_WMV_iv120call_iv150call_iv180call_SWM_WMD_CTVR_CToiR_iv360call_callvol_WMT_CVPoi_PCR_SM_totalvol_WMG_putoi_calloi_ToiTVR_MROI_putvol_totaloi,46.48,35.92,-0.37,-0.44
