ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
iv120call,9.09,7.53,0.03,0.06
iv120call_iv180call,8.78,7.04,-0.0,-0.01
iv120call_iv180call_iv150call,8.94,7.26,0.02,0.02
iv120call_iv180call_iv150call_WMEP,8.91,7.24,0.01,0.02
iv120call_iv180call_iv150call_WMEP_iv30call,8.94,7.28,0.02,0.03
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call,8.95,7.28,0.02,0.03
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call,8.95,7.27,0.02,0.03
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call,8.94,7.3,0.02,0.03
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR,8.93,7.26,0.02,0.02
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR,8.93,7.24,0.02,0.02
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV,8.94,7.25,0.02,0.02
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol,8.98,7.14,0.02,0.01
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD,9.07,7.2,0.03,0.02
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD_MROI,8.99,7.15,0.02,0.01
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD_MROI_SM,8.95,7.12,0.02,0.0
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD_MROI_SM_SWM,9.44,7.39,0.07,0.04
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD_MROI_SM_SWM_PCR,9.37,7.34,0.07,0.04
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD_MROI_SM_SWM_PCR_WMT,9.26,7.29,0.05,0.03
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD_MROI_SM_SWM_PCR_WMT_ToiTVR,9.26,7.29,0.05,0.03
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD_MROI_SM_SWM_PCR_WMT_ToiTVR_calloi,9.27,7.29,0.05,0.03
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD_MROI_SM_SWM_PCR_WMT_ToiTVR_calloi_WMG,9.19,7.26,0.05,0.02
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD_MROI_SM_SWM_PCR_WMT_ToiTVR_calloi_WMG_putvol,10.85,8.52,0.23,0.2
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD_MROI_SM_SWM_PCR_WMT_ToiTVR_calloi_WMG_putvol_totaloi,11.44,9.08,0.3,0.28
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD_MROI_SM_SWM_PCR_WMT_ToiTVR_calloi_WMG_putvol_totaloi_totalvol,11.45,9.09,0.3,0.28
iv120call_iv180call_iv150call_WMEP_iv30call_iv360call_iv60call_iv90call_CTVR_CToiR_WMV_callvol_WMD_MROI_SM_SWM_PCR_WMT_ToiTVR_calloi_WMG_putvol_totaloi_totalvol_putoi,11.09,8.76,0.26,0.24
