ExoVarList,AIC,DiffAIC,PercentGainAIC
iv60call,4504.924330855075,216.01006290111854,0.045755785800965336
iv60call_iv90call,4500.134237273267,220.80015648292647,0.04677043527123614
iv60call_iv90call_iv120call,4502.069961530718,218.86443222547587,0.046360405371220846
iv60call_iv90call_iv120call_iv150call,4503.725099603767,217.20929415242608,0.04600980993078456
iv60call_iv90call_iv120call_iv150call_iv180call,4505.716549146732,215.21784460946128,0.04558797616296125
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call,4507.305088196985,213.62930555920866,0.04525148789225925
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP,4412.159619915796,308.77477384039776,0.06540543631548379
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call,4402.095661843408,318.8387319127851,0.06753720880647576
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR,4400.805198100035,320.1291956561581,0.06781055802841787
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD,4398.368327377685,322.56606637850837,0.06832674201215914
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM,4393.324026457276,327.6103672989175,0.06939523830964649
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV,4388.084208414705,332.8501853414882,0.07050514952754029
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR,4381.225204221985,339.70918953420824,0.07195804076063847
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol,4384.92806871142,336.0063250447738,0.0711736908458564
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol,4386.886317412374,334.04807634381905,0.07075888976250631
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR,4378.3349471320835,342.59944662411,0.07257026216615606
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT,4377.01426501602,343.9201287401738,0.07285001231854338
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM,4326.474605771185,394.459787985008,0.08355544794410023
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_putoi,4327.904615413846,393.0297783423475,0.08325253976461953
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_putoi_WMG,4313.450740435297,407.48365332089634,0.08631419531265368
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_putoi_WMG_ToiTVR,4312.288523596338,408.6458701598558,0.08656037895809822
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_putoi_WMG_ToiTVR_MROI,4311.870057484248,409.06433627194565,0.08664901948499122
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_putoi_WMG_ToiTVR_MROI_totaloi,4311.937397556307,408.9969961998868,0.08663475534436942
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_putoi_WMG_ToiTVR_MROI_totaloi_totalvol,4313.937397556296,406.9969961998977,0.0862111103975906
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_putoi_WMG_ToiTVR_MROI_totaloi_totalvol_calloi,4315.937397556334,404.9969961998595,0.0857874654508014
