ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
iv60call,4.81,4.01,0.01,0.01
iv60call_iv90call,4.8,4.0,0.01,0.01
iv60call_iv90call_iv120call,4.8,4.0,0.01,0.01
iv60call_iv90call_iv120call_iv150call,4.8,4.0,0.01,0.01
iv60call_iv90call_iv120call_iv150call_iv180call,4.8,4.0,0.01,0.01
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call,4.8,4.0,0.01,0.01
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP,4.76,3.97,0.0,-0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call,4.77,3.98,0.0,0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR,4.76,3.98,0.0,0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD,4.77,3.98,0.0,0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM,4.76,3.97,-0.0,-0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV,4.75,3.96,-0.0,-0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR,4.75,3.96,-0.0,-0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol,4.75,3.97,-0.0,-0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol,4.75,3.97,-0.0,-0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR,4.77,3.98,0.0,0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT,4.78,3.98,0.01,0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM,4.82,4.0,0.01,0.01
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_CVPoi,4.84,4.01,0.02,0.01
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_CVPoi_putoi,4.84,4.01,0.02,0.01
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_CVPoi_putoi_WMG,4.85,4.02,0.02,0.01
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_CVPoi_putoi_WMG_ToiTVR,4.85,4.01,0.02,0.01
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_CVPoi_putoi_WMG_ToiTVR_MROI,4.87,4.02,0.02,0.01
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_CVPoi_putoi_WMG_ToiTVR_MROI_totaloi,4.78,3.98,0.01,0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_CVPoi_putoi_WMG_ToiTVR_MROI_totaloi_totalvol,4.78,3.98,0.01,0.0
iv60call_iv90call_iv120call_iv150call_iv180call_iv30call_WMEP_iv360call_CTVR_WMD_SM_WMV_PCR_putvol_callvol_CToiR_WMT_SWM_CVPoi_putoi_WMG_ToiTVR_MROI_totaloi_totalvol_calloi,4.83,4.0,0.02,0.01
