ExoVar,AIC,DiffAIC,PercentGainAIC
iv30call,877.2214706467321,2.2500531471889644,0.0025584150098260598
iv60call,881.4012534049956,-1.9297296110745492,-0.0021941922607680996
iv90call,881.4329209206207,-1.9613971266996941,-0.0022301996979259687
iv120call,881.272897075046,-1.8013732811249383,-0.002048245147670112
iv150call,880.3658549303641,-0.8943311364430429,-0.0010168960702502561
iv180call,875.8594685599253,3.6120552339957612,0.004107074687778229
iv360call,880.5838484990608,-1.112324705139713,-0.0012647648901027459
callvol,881.1679280722207,-1.6964042782996103,-0.0019288905125450248
putvol,880.7376645422913,-1.266140748370276,-0.001439660880557356
totalvol,880.8281187883846,-1.356594994463535,-0.0015425115626386263
calloi,881.4341062937616,-1.9625824998405506,-0.0022315475222827405
putoi,881.0140548665684,-1.5425310726473072,-0.0017539295257600121
totaloi,881.2341925133103,-1.7626687193892394,-0.0020042362620057617
CTVR,881.0786923078829,-1.607168513961824,-0.0018274253008542182
CToiR,880.8248440581244,-1.3533202642033757,-0.0015387880421248153
ToiTVR,881.218228689941,-1.7467048960199918,-0.001986084652843498
CVPoi,880.7185693312429,-1.2470455373218101,-0.001417948738058311
PCR,881.4301146908854,-1.9585908969643242,-0.0022270088842845396
SM,777.5961277747833,101.87539601913772,0.11583706039697689
SWM,879.9866303868457,-0.515106592924667,-0.0005857001380812956
WMEP,842.4193577125893,37.052166081331734,0.04213003500271812
MROI,880.819479006715,-1.347955212793977,-0.0015326877293071193
WMD,881.1051041413233,-1.6335803474022441,-0.0018574567830862785
WMG,880.1255940528167,-0.6540702588956719,-0.0007437082852598813
WMT,862.3129599525198,17.158563841401246,0.019510084610109404
WMV,872.5012562319688,6.970267561952255,0.007925518192884137
