ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
iv120call,20.66,17.33,-0.0,-0.0
iv120call_iv150call,20.63,17.3,-0.0,-0.0
iv120call_iv150call_WMEP,20.55,17.23,-0.01,-0.01
iv120call_iv150call_WMEP_putvol,20.49,17.15,-0.01,-0.01
iv120call_iv150call_WMEP_putvol_WMT,20.24,16.87,-0.02,-0.03
iv120call_iv150call_WMEP_putvol_WMT_SM,20.19,16.83,-0.02,-0.03
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR,20.2,16.84,-0.02,-0.03
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call,20.15,16.78,-0.02,-0.03
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call,20.15,16.79,-0.02,-0.03
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call,20.15,16.79,-0.02,-0.03
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call,20.11,16.75,-0.03,-0.03
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV,20.14,16.77,-0.03,-0.03
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD,20.13,16.76,-0.03,-0.03
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM,20.13,16.77,-0.03,-0.03
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM_calloi,20.14,16.77,-0.03,-0.03
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM_calloi_CTVR,20.14,16.78,-0.03,-0.03
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM_calloi_CTVR_callvol,19.79,16.47,-0.04,-0.05
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM_calloi_CTVR_callvol_putoi,19.78,16.46,-0.04,-0.05
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM_calloi_CTVR_callvol_putoi_iv360call,19.77,16.45,-0.04,-0.05
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM_calloi_CTVR_callvol_putoi_iv360call_WMG,19.76,16.44,-0.04,-0.05
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM_calloi_CTVR_callvol_putoi_iv360call_WMG_totalvol,19.76,16.44,-0.04,-0.05
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM_calloi_CTVR_callvol_putoi_iv360call_WMG_totalvol_totaloi,19.76,16.44,-0.04,-0.05
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM_calloi_CTVR_callvol_putoi_iv360call_WMG_totalvol_totaloi_MROI,19.74,16.42,-0.04,-0.05
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM_calloi_CTVR_callvol_putoi_iv360call_WMG_totalvol_totaloi_MROI_ToiTVR,19.74,16.42,-0.04,-0.05
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM_calloi_CTVR_callvol_putoi_iv360call_WMG_totalvol_totaloi_MROI_ToiTVR_PCR,19.74,16.42,-0.04,-0.05
iv120call_iv150call_WMEP_putvol_WMT_SM_CToiR_iv30call_iv180call_iv90call_iv60call_WMV_WMD_SWM_calloi_CTVR_callvol_putoi_iv360call_WMG_totalvol_totaloi_MROI_ToiTVR_PCR_CVPoi,19.69,16.37,-0.05,-0.06
