ExoVarList,AIC,DiffAIC,PercentGainAIC
WMEP,4661.517581233516,184.32747093484159,0.03803825111006409
WMEP_iv120call,4584.419764153551,261.42528801480603,0.053948338256879835
WMEP_iv120call_iv90call,4582.023102874571,263.821949293786,0.05444291892406554
WMEP_iv120call_iv90call_iv30call,4573.695381033149,272.14967113520834,0.056161447220321306
WMEP_iv120call_iv90call_iv30call_iv150call,4574.816223734029,271.0288284343278,0.05593014748027308
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call,4576.76765153103,269.0774006373267,0.055527446243235405
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call,4580.314526266278,265.5305259020788,0.054795504817732994
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM,4526.044262078367,319.8007900899902,0.06599484437639824
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV,4496.754335234082,349.0907169342754,0.0720391826763154
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol,4499.05773396396,346.7873182043968,0.07156384788845463
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT,4459.388080385965,386.45697178239243,0.07975017104797141
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR,4454.059029842158,391.7860223261987,0.08084988647148081
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD,4413.460840846447,432.3842113219098,0.08922782438708642
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call,4415.370665144743,430.4743870236143,0.08883370854604423
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol,4419.415171476072,426.4298806922852,0.08799907469213689
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi,4405.680042851593,440.16500931676455,0.09083348819001241
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi,4407.343145930279,438.50190623807794,0.09049028632103345
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR,4407.0469707156435,438.79808145271363,0.09055140573600591
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi,4409.049574619784,436.7954775485732,0.09013814367694682
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR,4405.251547974678,440.5935041936791,0.09092191340218936
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR_SWM,4376.234645512288,469.61040665606924,0.09690990974751328
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR_SWM_calloi,4378.208403602428,467.63664856592914,0.09650260037858145
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR_SWM_calloi_WMG,4373.906429364504,471.9386228038529,0.09739036591619367
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR_SWM_calloi_WMG_MROI,4374.689192640422,471.1558595279348,0.09722883304267188
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR_SWM_calloi_WMG_MROI_PCR,4373.397764255511,472.44728791284615,0.09749533524631404
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR_SWM_calloi_WMG_MROI_PCR_putvol,4375.422345067984,470.4227071003734,0.09707753798068194
