ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
WMEP,12.07,10.91,0.05,0.06
WMEP_iv120call,12.43,11.3,0.08,0.09
WMEP_iv120call_iv90call,12.38,11.25,0.07,0.09
WMEP_iv120call_iv90call_iv30call,12.31,11.17,0.07,0.08
WMEP_iv120call_iv90call_iv30call_iv150call,12.3,11.16,0.07,0.08
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call,12.24,11.1,0.06,0.07
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call,12.19,11.04,0.06,0.07
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM,12.06,10.9,0.04,0.05
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV,12.32,11.18,0.07,0.08
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol,12.3,11.16,0.06,0.08
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT,12.11,10.97,0.05,0.06
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR,12.11,10.97,0.05,0.06
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD,12.39,11.27,0.07,0.09
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call,12.4,11.28,0.07,0.09
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol,12.36,11.23,0.07,0.09
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi,12.34,11.22,0.07,0.09
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi,12.35,11.23,0.07,0.09
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR,12.34,11.21,0.07,0.09
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi,12.34,11.21,0.07,0.09
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR,12.26,11.12,0.06,0.08
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR_SWM,12.13,10.97,0.05,0.06
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR_SWM_calloi,12.13,10.98,0.05,0.06
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR_SWM_calloi_WMG,12.06,10.9,0.04,0.05
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR_SWM_calloi_WMG_MROI,12.07,10.91,0.05,0.06
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR_SWM_calloi_WMG_MROI_PCR,12.04,10.88,0.04,0.05
WMEP_iv120call_iv90call_iv30call_iv150call_iv60call_iv180call_SM_WMV_callvol_WMT_CTVR_WMD_iv360call_totalvol_putoi_CVPoi_CToiR_totaloi_ToiTVR_SWM_calloi_WMG_MROI_PCR_putvol,12.05,10.89,0.04,0.05
