ExoVarList,AIC,DiffAIC,PercentGainAIC
SM,1274.8644508901396,148.66301871469636,0.10443284157766515
SM_WMEP,1207.7313513252745,215.79611827956137,0.15159252131570408
SM_WMEP_iv90call,1150.056448358974,273.47102124586195,0.19210800429567834
SM_WMEP_iv90call_iv60call,1146.3736602125537,277.15380939228226,0.19469509040750635
SM_WMEP_iv90call_iv60call_iv120call,1148.074621913749,275.45284769108684,0.1935001983260296
SM_WMEP_iv90call_iv60call_iv120call_iv30call,1144.4024115165525,279.12505808828337,0.19607985377743858
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call,1145.3445962507355,278.18287335410037,0.19541798756529968
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi,1129.766683043269,293.7607865615669,0.20636116466590798
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV,1112.344216007767,311.18325359706887,0.21860010448793923
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM,1114.190321812487,309.337147792349,0.2173032515334737
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR,1115.5083816893825,308.0190879154534,0.21637734043935095
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG,1111.6394343117697,311.8880352930662,0.21909519974324398
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call,1110.0539134869277,313.4735561179082,0.22020899688358445
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol,1107.9501469548404,315.5773226499955,0.22168685142240224
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD,1102.7287053298776,320.79876427495833,0.2253548112872107
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call,1103.1632058913192,320.3642637135167,0.22504958320365132
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol,1105.4061698839419,318.12129972089406,0.22347394519137936
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT,1102.6744721114783,320.85299749335763,0.22539290905459297
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR,1101.7407051270893,321.7867644777466,0.2260488619633543
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI,1102.8544729867249,320.67299661811103,0.2252664619862434
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI_CToiR,1104.4848864378414,319.0425831669945,0.224121128660453
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI_CToiR_putoi,1106.5779266640795,316.9495429407564,0.22265080914015659
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI_CToiR_putoi_totalvol,1109.7386695199395,313.78880008489637,0.22043044955922245
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI_CToiR_putoi_totalvol_ToiTVR,1111.7252931645733,311.80217644026266,0.2190348855908045
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI_CToiR_putoi_totalvol_ToiTVR_calloi,1112.9044116708942,310.6230579339417,0.21820657807198418
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI_CToiR_putoi_totalvol_ToiTVR_calloi_totaloi,1114.9043898864174,308.62307971841847,0.216801632780638
