ExoVar,AIC,DiffAIC,PercentGainAIC
iv30call,1386.6141791588284,36.91329044600752,0.025930859245206182
iv60call,1380.7447194067297,42.782750198106214,0.030054039076592244
iv90call,1375.1539211833451,48.373548421490796,0.03398146467445342
iv120call,1383.5452980135788,39.982171591257156,0.02808668778436429
iv150call,1387.4661083729634,36.061361231872525,0.02533239575761961
iv180call,1417.9922310114962,5.535238593339727,0.003888396052431838
iv360call,1421.4155810960974,2.1118885087385024,0.0014835600673900253
callvol,1422.441225836714,1.0862437681219035,0.0007630648451226862
putvol,1419.1461659353931,4.3813036694427865,0.0030777795040787055
totalvol,1425.4895922111336,-1.9621226062977257,-0.0013783524717246244
calloi,1426.2167089813329,-2.689239376496971,-0.0018891376765939687
putoi,1425.3718380419868,-1.8443684371509335,-0.0012956324879792596
totaloi,1426.2230732002006,-2.6956035953646733,-0.001893608414955954
CTVR,1415.7404744409223,7.786995163913616,0.005470210677476598
CToiR,1425.0616319702392,-1.53416236540329,-0.001077718834487378
ToiTVR,1425.5177867612629,-1.9903171564269542,-0.0013981585876804022
CVPoi,1395.5516734238659,27.975796180970065,0.019652445617179416
PCR,1424.4799810075833,-0.9525114027474046,-0.0006691204933416683
SM,1274.8644508901396,148.66301871469636,0.10443284157766515
SWM,1414.2255295815298,9.301940023306088,0.006534429592628978
WMEP,1347.1518720257836,76.37559757905228,0.05365235249043263
MROI,1425.0314495944758,-1.5039799896399018,-0.0010565163101892224
WMD,1420.2677178340305,3.259751770805451,0.002289911392935987
WMG,1417.2383482281598,6.289121376676121,0.004417983854166123
WMT,1424.0788819618303,-0.5514123569944331,-0.0003873563164520474
WMV,1397.140324259744,26.387145345091994,0.018536449705755895
