ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
SM,1.06,1.0,0.09,0.09
SM_WMEP,1.06,1.0,0.09,0.09
SM_WMEP_iv90call,1.23,1.18,0.27,0.28
SM_WMEP_iv90call_iv60call,1.14,1.09,0.18,0.19
SM_WMEP_iv90call_iv60call_iv120call,1.13,1.08,0.17,0.17
SM_WMEP_iv90call_iv60call_iv120call_iv30call,1.13,1.07,0.16,0.17
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call,1.13,1.07,0.16,0.16
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi,0.91,0.87,-0.06,-0.05
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV,0.92,0.88,-0.06,-0.04
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM,0.92,0.89,-0.05,-0.04
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR,0.92,0.89,-0.05,-0.03
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG,0.9,0.86,-0.07,-0.06
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call,0.86,0.82,-0.12,-0.11
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol,0.86,0.83,-0.11,-0.1
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD,0.87,0.83,-0.1,-0.09
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call,0.86,0.82,-0.11,-0.1
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol,0.86,0.82,-0.11,-0.1
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT,0.86,0.82,-0.12,-0.11
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR,0.86,0.82,-0.12,-0.11
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI,0.83,0.8,-0.14,-0.13
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI_CToiR,0.84,0.8,-0.14,-0.13
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI_CToiR_putoi,0.83,0.79,-0.14,-0.14
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI_CToiR_putoi_totalvol,0.95,0.9,-0.02,-0.02
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI_CToiR_putoi_totalvol_ToiTVR,0.95,0.9,-0.02,-0.02
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI_CToiR_putoi_totalvol_ToiTVR_calloi,0.95,0.9,-0.02,-0.02
SM_WMEP_iv90call_iv60call_iv120call_iv30call_iv150call_CVPoi_WMV_SWM_CTVR_WMG_iv180call_putvol_WMD_iv360call_callvol_WMT_PCR_MROI_CToiR_putoi_totalvol_ToiTVR_calloi_totaloi,0.95,0.9,-0.02,-0.02
