ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
WMEP,11.23,9.72,-0.02,-0.02
WMEP_SM,11.74,10.26,0.03,0.03
WMEP_SM_putvol,11.49,9.99,0.0,0.0
WMEP_SM_putvol_SWM,11.54,10.04,0.01,0.01
WMEP_SM_putvol_SWM_WMT,11.43,9.93,-0.0,-0.0
WMEP_SM_putvol_SWM_WMT_WMV,11.43,9.93,-0.0,-0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD,11.49,9.99,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call,11.5,10.0,0.0,0.01
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR,11.5,9.99,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call,11.5,10.0,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call,11.48,9.97,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR,11.44,9.93,-0.0,-0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call,11.45,9.95,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI,11.45,9.94,0.0,-0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI_iv60call,11.47,9.96,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI_iv60call_iv360call,11.46,9.95,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI_iv60call_iv360call_CVPoi,11.45,9.94,0.0,-0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI_iv60call_iv360call_CVPoi_WMG,11.49,9.98,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI_iv60call_iv360call_CVPoi_WMG_CTVR,11.49,9.98,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI_iv60call_iv360call_CVPoi_WMG_CTVR_iv30call,11.49,9.98,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI_iv60call_iv360call_CVPoi_WMG_CTVR_iv30call_totalvol,11.47,9.96,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI_iv60call_iv360call_CVPoi_WMG_CTVR_iv30call_totalvol_callvol,11.47,9.96,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI_iv60call_iv360call_CVPoi_WMG_CTVR_iv30call_totalvol_callvol_putoi,11.47,9.96,0.0,0.0
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI_iv60call_iv360call_CVPoi_WMG_CTVR_iv30call_totalvol_callvol_putoi_totaloi,11.58,10.06,0.01,0.01
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI_iv60call_iv360call_CVPoi_WMG_CTVR_iv30call_totalvol_callvol_putoi_totaloi_ToiTVR,11.58,10.07,0.01,0.01
WMEP_SM_putvol_SWM_WMT_WMV_WMD_iv150call_CToiR_iv180call_iv120call_PCR_iv90call_MROI_iv60call_iv360call_CVPoi_WMG_CTVR_iv30call_totalvol_callvol_putoi_totaloi_ToiTVR_calloi,11.68,10.15,0.02,0.02
