ExoVarList,AIC,DiffAIC,PercentGainAIC
iv30call,8862.26738715253,300.9995645025265,0.03284849891316987
iv30call_iv60call,8848.553994858556,314.7129567965003,0.03434506038696791
iv30call_iv60call_iv90call,8849.74724190143,313.51970975362565,0.034214839686297495
iv30call_iv60call_iv90call_iv120call,8844.094306392532,319.1726452625244,0.03483175235933467
iv30call_iv60call_iv90call_iv120call_iv150call,8844.084656754156,319.18229490090016,0.03483280543772109
iv30call_iv60call_iv90call_iv120call_iv150call_SM,8841.044826754718,322.2221249003378,0.03516454629122624
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call,8834.63328104079,328.6336706142665,0.03586424714549096
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP,8761.441077120442,401.82587453461383,0.043851813622218724
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call,8670.857466001837,492.40948565321924,0.053737328427857375
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol,8660.187318728622,503.079632926434,0.054901776362148706
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM,8646.516175184668,516.7507764703878,0.05639372717140507
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol,8648.690288652799,514.5766630022572,0.05615646316069785
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV,8639.291685065044,523.9752665900123,0.05718214577338846
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD,8632.576052401268,530.6908992537883,0.05791503205720048
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol,8634.580360562355,528.6865910927008,0.05769629913457997
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR,8629.864942248925,533.4020094061307,0.058210899259001546
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR,8631.320367046634,531.9465846084222,0.05805206673721786
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR,8619.78802761362,543.4789240414357,0.059310606894768386
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR,8619.498786753973,543.7681649010829,0.059342172149952285
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR_WMT,8588.541864776162,574.7250868788942,0.06272054387492096
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR_WMT_WMG,8574.551795237596,588.7151564174601,0.06424729951920993
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR_WMT_WMG_calloi,8558.184342391654,605.0826092634015,0.06603350229299086
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR_WMT_WMG_calloi_totaloi,8559.34621103213,603.9207406229252,0.06590670596078683
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR_WMT_WMG_calloi_totaloi_MROI,8560.676256342951,602.5906953121048,0.0657615562758723
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR_WMT_WMG_calloi_totaloi_MROI_putoi,8562.658581951113,600.608369703943,0.06554522233966588
