ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
iv30call,88.83,77.0,-0.02,-0.02
iv30call_iv60call,88.61,76.81,-0.02,-0.03
iv30call_iv60call_iv90call,88.58,76.78,-0.02,-0.03
iv30call_iv60call_iv90call_iv120call,86.74,75.11,-0.04,-0.05
iv30call_iv60call_iv90call_iv120call_iv150call,88.26,76.49,-0.03,-0.03
iv30call_iv60call_iv90call_iv120call_iv150call_SM,88.11,76.36,-0.03,-0.03
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call,87.58,75.85,-0.04,-0.04
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP,99.12,87.54,0.09,0.11
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call,97.86,86.22,0.08,0.09
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol,97.17,85.51,0.07,0.08
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM,90.99,79.21,0.0,0.0
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol,91.27,79.48,0.01,0.01
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV,89.73,78.07,-0.01,-0.01
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD,90.5,78.85,-0.0,-0.0
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol,90.5,78.85,-0.0,-0.0
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR,90.76,79.12,-0.0,0.0
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR,90.92,79.28,0.0,0.0
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR,91.41,79.77,0.01,0.01
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR,91.32,79.68,0.01,0.01
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR_WMT,89.6,78.21,-0.01,-0.01
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR_WMT_WMG,86.15,74.87,-0.05,-0.05
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR_WMT_WMG_calloi,86.55,75.27,-0.05,-0.05
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR_WMT_WMG_calloi_totaloi,86.67,75.37,-0.05,-0.04
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR_WMT_WMG_calloi_totaloi_MROI,86.61,75.32,-0.05,-0.05
iv30call_iv60call_iv90call_iv120call_iv150call_SM_iv180call_WMEP_iv360call_callvol_SWM_totalvol_WMV_WMD_putvol_CTVR_ToiTVR_PCR_CToiR_WMT_WMG_calloi_totaloi_MROI_putoi,86.6,75.31,-0.05,-0.05
