ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
iv150call,10.33,6.79,0.0,0.0
iv150call_iv120call,10.3,6.77,0.0,0.0
iv150call_iv120call_iv60call,10.49,6.92,0.02,0.02
iv150call_iv120call_iv60call_iv180call,10.9,7.26,0.06,0.07
iv150call_iv120call_iv60call_iv180call_iv90call,10.9,7.26,0.06,0.07
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call,10.74,7.13,0.04,0.06
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP,11.38,7.75,0.1,0.15
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call,11.38,7.76,0.11,0.15
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM,11.38,7.76,0.11,0.15
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR,11.32,7.7,0.1,0.14
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM,11.3,7.68,0.1,0.14
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol,11.21,7.6,0.09,0.12
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV,11.31,7.71,0.1,0.14
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV_WMD,11.31,7.7,0.1,0.14
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV_WMD_WMG,11.33,7.72,0.1,0.14
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV_WMD_WMG_totalvol,11.1,7.48,0.08,0.11
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV_WMD_WMG_totalvol_PCR,11.17,7.56,0.09,0.12
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV_WMD_WMG_totalvol_PCR_CToiR,11.19,7.58,0.09,0.12
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV_WMD_WMG_totalvol_PCR_CToiR_calloi,11.09,7.47,0.08,0.11
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV_WMD_WMG_totalvol_PCR_CToiR_calloi_ToiTVR,11.08,7.46,0.08,0.1
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV_WMD_WMG_totalvol_PCR_CToiR_calloi_ToiTVR_MROI,10.89,7.29,0.06,0.08
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV_WMD_WMG_totalvol_PCR_CToiR_calloi_ToiTVR_MROI_totaloi,10.79,7.2,0.05,0.07
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV_WMD_WMG_totalvol_PCR_CToiR_calloi_ToiTVR_MROI_totaloi_putvol,10.8,7.21,0.05,0.07
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV_WMD_WMG_totalvol_PCR_CToiR_calloi_ToiTVR_MROI_totaloi_putvol_WMT,11.49,7.81,0.12,0.16
iv150call_iv120call_iv60call_iv180call_iv90call_iv360call_WMEP_iv30call_SM_CTVR_SWM_callvol_WMV_WMD_WMG_totalvol_PCR_CToiR_calloi_ToiTVR_MROI_totaloi_putvol_WMT_putoi,11.48,7.8,0.11,0.15
