ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
iv120call,25.99,23.22,-0.17,-0.18
iv120call_iv150call,25.98,23.21,-0.17,-0.18
iv120call_iv150call_iv180call,25.94,23.18,-0.17,-0.18
iv120call_iv150call_iv180call_iv90call,24.26,21.77,-0.23,-0.23
iv120call_iv150call_iv180call_iv90call_SM,24.23,21.74,-0.23,-0.23
iv120call_iv150call_iv180call_iv90call_SM_iv360call,23.95,21.52,-0.24,-0.24
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call,23.92,21.49,-0.24,-0.24
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call,23.67,21.25,-0.25,-0.25
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP,23.94,21.51,-0.24,-0.24
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR,23.91,21.48,-0.24,-0.24
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV,24.31,21.85,-0.23,-0.23
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD,24.33,21.87,-0.23,-0.23
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM,24.9,22.42,-0.21,-0.21
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM_putvol,24.79,22.32,-0.21,-0.21
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM_putvol_callvol,24.87,22.39,-0.21,-0.21
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM_putvol_callvol_WMG,24.92,22.44,-0.21,-0.21
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM_putvol_callvol_WMG_PCR,24.89,22.42,-0.21,-0.21
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM_putvol_callvol_WMG_PCR_ToiTVR,24.89,22.41,-0.21,-0.21
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM_putvol_callvol_WMG_PCR_ToiTVR_totalvol,24.89,22.41,-0.21,-0.21
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM_putvol_callvol_WMG_PCR_ToiTVR_totalvol_putoi,24.74,22.28,-0.21,-0.21
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM_putvol_callvol_WMG_PCR_ToiTVR_totalvol_putoi_totaloi,24.6,22.15,-0.22,-0.22
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM_putvol_callvol_WMG_PCR_ToiTVR_totalvol_putoi_totaloi_CToiR,24.66,22.2,-0.21,-0.22
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM_putvol_callvol_WMG_PCR_ToiTVR_totalvol_putoi_totaloi_CToiR_WMT,23.68,21.3,-0.25,-0.25
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM_putvol_callvol_WMG_PCR_ToiTVR_totalvol_putoi_totaloi_CToiR_WMT_calloi,23.73,21.35,-0.24,-0.25
iv120call_iv150call_iv180call_iv90call_SM_iv360call_iv30call_iv60call_WMEP_CTVR_WMV_WMD_SWM_putvol_callvol_WMG_PCR_ToiTVR_totalvol_putoi_totaloi_CToiR_WMT_calloi_MROI,23.74,21.36,-0.24,-0.25
