ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
iv60call,6.56,5.8,-0.23,-0.27
iv60call_iv90call,6.53,5.77,-0.23,-0.27
iv60call_iv90call_iv30call,6.54,5.78,-0.23,-0.27
iv60call_iv90call_iv30call_iv120call,6.62,5.86,-0.22,-0.26
iv60call_iv90call_iv30call_iv120call_iv150call,6.58,5.82,-0.23,-0.27
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP,6.63,5.87,-0.22,-0.26
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call,6.27,5.49,-0.26,-0.31
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD,6.28,5.51,-0.26,-0.31
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call,6.32,5.54,-0.26,-0.3
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR,6.32,5.54,-0.26,-0.3
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR,6.18,5.4,-0.27,-0.32
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV,6.3,5.52,-0.26,-0.31
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR,6.42,5.64,-0.25,-0.29
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR_WMG,6.42,5.65,-0.25,-0.29
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR_WMG_SWM,6.59,5.82,-0.23,-0.27
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR_WMG_SWM_callvol,7.07,6.35,-0.17,-0.2
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR_WMG_SWM_callvol_ToiTVR,7.06,6.34,-0.17,-0.2
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR_WMG_SWM_callvol_ToiTVR_MROI,7.07,6.35,-0.17,-0.2
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR_WMG_SWM_callvol_ToiTVR_MROI_WMT,7.49,6.8,-0.12,-0.14
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR_WMG_SWM_callvol_ToiTVR_MROI_WMT_SM,7.38,6.69,-0.13,-0.16
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR_WMG_SWM_callvol_ToiTVR_MROI_WMT_SM_totalvol,7.3,6.59,-0.14,-0.17
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR_WMG_SWM_callvol_ToiTVR_MROI_WMT_SM_totalvol_putvol,7.38,6.69,-0.13,-0.16
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR_WMG_SWM_callvol_ToiTVR_MROI_WMT_SM_totalvol_putvol_calloi,7.38,6.68,-0.13,-0.16
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR_WMG_SWM_callvol_ToiTVR_MROI_WMT_SM_totalvol_putvol_calloi_totaloi,7.55,6.86,-0.11,-0.14
iv60call_iv90call_iv30call_iv120call_iv150call_WMEP_iv180call_WMD_iv360call_CTVR_PCR_WMV_CToiR_WMG_SWM_callvol_ToiTVR_MROI_WMT_SM_totalvol_putvol_calloi_totaloi_putoi,7.55,6.87,-0.11,-0.13
