ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
iv90call,6.28,5.02,-0.06,-0.07
iv90call_iv120call,6.21,4.96,-0.07,-0.08
iv90call_iv120call_iv150call,6.24,4.99,-0.07,-0.07
iv90call_iv120call_iv150call_iv30call,6.27,5.02,-0.06,-0.07
iv90call_iv120call_iv150call_iv30call_iv60call,6.28,5.03,-0.06,-0.07
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call,6.28,5.02,-0.06,-0.07
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP,6.25,5.0,-0.07,-0.07
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call,6.26,5.01,-0.06,-0.07
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol,6.24,4.99,-0.07,-0.07
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV,6.25,5.0,-0.06,-0.07
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD,6.26,5.0,-0.06,-0.07
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT,6.13,4.91,-0.08,-0.09
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM,6.16,4.92,-0.08,-0.08
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi,6.18,4.94,-0.08,-0.08
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi_calloi,6.13,4.9,-0.08,-0.09
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi_calloi_CTVR,6.11,4.89,-0.09,-0.09
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi_calloi_CTVR_totaloi,6.11,4.89,-0.09,-0.09
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi_calloi_CTVR_totaloi_SWM,6.07,4.85,-0.09,-0.1
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi_calloi_CTVR_totaloi_SWM_totalvol,6.05,4.84,-0.09,-0.1
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi_calloi_CTVR_totaloi_SWM_totalvol_WMG,5.99,4.79,-0.1,-0.11
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi_calloi_CTVR_totaloi_SWM_totalvol_WMG_CToiR,6.2,4.96,-0.07,-0.08
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi_calloi_CTVR_totaloi_SWM_totalvol_WMG_CToiR_PCR,6.13,4.9,-0.08,-0.09
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi_calloi_CTVR_totaloi_SWM_totalvol_WMG_CToiR_PCR_putvol,6.13,4.9,-0.08,-0.09
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi_calloi_CTVR_totaloi_SWM_totalvol_WMG_CToiR_PCR_putvol_ToiTVR,6.11,4.88,-0.09,-0.09
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi_calloi_CTVR_totaloi_SWM_totalvol_WMG_CToiR_PCR_putvol_ToiTVR_MROI,6.12,4.89,-0.08,-0.09
iv90call_iv120call_iv150call_iv30call_iv60call_iv180call_WMEP_iv360call_callvol_WMV_WMD_WMT_SM_CVPoi_calloi_CTVR_totaloi_SWM_totalvol_WMG_CToiR_PCR_putvol_ToiTVR_MROI_putoi,6.09,4.86,-0.09,-0.1
