ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
CToiR,18.05,15.34,0.15,0.18
CToiR_iv180call,19.08,16.37,0.22,0.26
CToiR_iv180call_iv60call,19.11,16.39,0.22,0.26
CToiR_iv180call_iv60call_WMEP,17.43,14.66,0.11,0.13
CToiR_iv180call_iv60call_WMEP_SM,18.21,15.49,0.16,0.19
CToiR_iv180call_iv60call_WMEP_SM_calloi,17.96,15.3,0.14,0.18
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi,17.21,14.51,0.1,0.11
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call,16.87,14.16,0.08,0.09
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call,17.38,14.66,0.11,0.13
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol,18.25,15.5,0.16,0.19
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call,18.45,15.71,0.18,0.21
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi,21.04,17.71,0.34,0.36
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call,20.91,17.59,0.33,0.35
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD,20.9,17.59,0.33,0.35
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD_totalvol,17.95,14.92,0.14,0.15
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD_totalvol_iv150call,17.91,14.88,0.14,0.14
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD_totalvol_iv150call_CTVR,16.51,13.56,0.05,0.04
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD_totalvol_iv150call_CTVR_PCR,16.15,13.27,0.03,0.02
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD_totalvol_iv150call_CTVR_PCR_ToiTVR,16.27,13.37,0.04,0.03
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD_totalvol_iv150call_CTVR_PCR_ToiTVR_SWM,16.27,13.38,0.04,0.03
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD_totalvol_iv150call_CTVR_PCR_ToiTVR_SWM_WMV,15.67,12.91,-0.0,-0.01
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD_totalvol_iv150call_CTVR_PCR_ToiTVR_SWM_WMV_WMT,15.61,12.86,-0.01,-0.01
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD_totalvol_iv150call_CTVR_PCR_ToiTVR_SWM_WMV_WMT_WMG,15.59,12.85,-0.01,-0.01
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD_totalvol_iv150call_CTVR_PCR_ToiTVR_SWM_WMV_WMT_WMG_callvol,15.09,12.49,-0.04,-0.04
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD_totalvol_iv150call_CTVR_PCR_ToiTVR_SWM_WMV_WMT_WMG_callvol_MROI,15.21,12.6,-0.03,-0.03
CToiR_iv180call_iv60call_WMEP_SM_calloi_totaloi_iv30call_iv90call_putvol_iv360call_putoi_iv120call_WMD_totalvol_iv150call_CTVR_PCR_ToiTVR_SWM_WMV_WMT_WMG_callvol_MROI_CVPoi,15.24,12.67,-0.03,-0.03
