ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
SM,0.5,0.41,-0.14,-0.15
SM_WMT,0.48,0.39,-0.18,-0.19
SM_WMT_callvol,0.53,0.43,-0.09,-0.09
SM_WMT_callvol_WMEP,0.56,0.45,-0.05,-0.05
SM_WMT_callvol_WMEP_WMV,0.56,0.46,-0.04,-0.04
SM_WMT_callvol_WMEP_WMV_totalvol,0.56,0.46,-0.03,-0.03
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR,0.55,0.45,-0.06,-0.06
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call,0.54,0.44,-0.08,-0.08
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM,0.54,0.44,-0.07,-0.08
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call,0.58,0.47,-0.01,-0.01
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR,0.58,0.47,-0.0,-0.01
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call,0.57,0.47,-0.02,-0.02
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call,0.59,0.49,0.02,0.02
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD,0.6,0.49,0.02,0.02
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD_WMG,0.6,0.49,0.03,0.03
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD_WMG_iv360call,0.6,0.49,0.03,0.03
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD_WMG_iv360call_totaloi,0.6,0.5,0.04,0.04
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD_WMG_iv360call_totaloi_putoi,0.6,0.5,0.04,0.04
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD_WMG_iv360call_totaloi_putoi_putvol,0.6,0.49,0.04,0.04
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD_WMG_iv360call_totaloi_putoi_putvol_calloi,0.6,0.5,0.04,0.04
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD_WMG_iv360call_totaloi_putoi_putvol_calloi_iv180call,0.62,0.51,0.06,0.06
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD_WMG_iv360call_totaloi_putoi_putvol_calloi_iv180call_CVPoi,0.62,0.51,0.07,0.07
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD_WMG_iv360call_totaloi_putoi_putvol_calloi_iv180call_CVPoi_iv120call,0.63,0.52,0.08,0.08
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD_WMG_iv360call_totaloi_putoi_putvol_calloi_iv180call_CVPoi_iv120call_PCR,0.63,0.52,0.08,0.08
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD_WMG_iv360call_totaloi_putoi_putvol_calloi_iv180call_CVPoi_iv120call_PCR_CToiR,0.65,0.54,0.12,0.12
SM_WMT_callvol_WMEP_WMV_totalvol_CTVR_iv90call_SWM_iv30call_ToiTVR_iv60call_iv150call_WMD_WMG_iv360call_totaloi_putoi_putvol_calloi_iv180call_CVPoi_iv120call_PCR_CToiR_MROI,0.65,0.53,0.11,0.12
