ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
CToiR,5.47,3.97,-0.0,-0.0
CToiR_WMEP,5.54,4.03,0.01,0.01
CToiR_WMEP_SM,5.53,4.0,0.01,0.01
CToiR_WMEP_SM_iv90call,5.6,4.06,0.02,0.02
CToiR_WMEP_SM_iv90call_iv60call,5.6,4.06,0.02,0.02
CToiR_WMEP_SM_iv90call_iv60call_iv120call,5.59,4.05,0.02,0.02
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call,5.6,4.06,0.02,0.02
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call,5.6,4.06,0.02,0.02
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi,5.71,4.15,0.04,0.05
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call,5.73,4.18,0.04,0.05
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi,5.64,4.13,0.03,0.04
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR,5.68,4.16,0.03,0.05
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV,5.65,4.14,0.03,0.04
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol,5.6,4.08,0.02,0.03
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol_putoi,5.89,4.31,0.07,0.09
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol_putoi_iv30call,5.92,4.34,0.08,0.09
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol_putoi_iv30call_totalvol,5.92,4.34,0.08,0.09
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol_putoi_iv30call_totalvol_WMD,6.14,4.59,0.12,0.16
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol_putoi_iv30call_totalvol_WMD_WMG,6.18,4.63,0.12,0.17
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol_putoi_iv30call_totalvol_WMD_WMG_SWM,6.19,4.65,0.13,0.17
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol_putoi_iv30call_totalvol_WMD_WMG_SWM_MROI,6.2,4.66,0.13,0.17
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol_putoi_iv30call_totalvol_WMD_WMG_SWM_MROI_WMT,6.04,4.43,0.1,0.12
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol_putoi_iv30call_totalvol_WMD_WMG_SWM_MROI_WMT_PCR,6.02,4.42,0.1,0.11
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol_putoi_iv30call_totalvol_WMD_WMG_SWM_MROI_WMT_PCR_ToiTVR,5.99,4.38,0.09,0.1
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol_putoi_iv30call_totalvol_WMD_WMG_SWM_MROI_WMT_PCR_ToiTVR_CVPoi,6.01,4.4,0.09,0.11
CToiR_WMEP_SM_iv90call_iv60call_iv120call_iv150call_iv180call_calloi_iv360call_totaloi_CTVR_WMV_callvol_putoi_iv30call_totalvol_WMD_WMG_SWM_MROI_WMT_PCR_ToiTVR_CVPoi_putvol,6.01,4.4,0.09,0.11
