ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
iv30call,3.71,3.04,0.44,0.47
iv30call_iv60call,2.51,2.01,-0.03,-0.03
iv30call_iv60call_iv90call,2.45,1.97,-0.05,-0.05
iv30call_iv60call_iv90call_iv120call,2.44,1.97,-0.05,-0.05
iv30call_iv60call_iv90call_iv120call_iv150call,2.47,1.98,-0.04,-0.04
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP,2.38,1.92,-0.08,-0.07
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol,2.31,1.88,-0.1,-0.09
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call,2.56,2.03,-0.01,-0.02
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol,2.56,2.03,-0.01,-0.02
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi,2.54,2.02,-0.02,-0.02
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call,2.61,2.05,0.01,-0.0
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM,2.64,2.07,0.02,0.0
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD,2.62,2.05,0.02,-0.0
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol,2.67,2.15,0.04,0.04
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol_putoi,2.93,2.49,0.14,0.21
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol_putoi_PCR,2.94,2.5,0.14,0.21
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol_putoi_PCR_WMV,2.94,2.5,0.14,0.21
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol_putoi_PCR_WMV_totaloi,2.97,2.51,0.15,0.22
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol_putoi_PCR_WMV_totaloi_CTVR,3.01,2.54,0.17,0.23
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol_putoi_PCR_WMV_totaloi_CTVR_WMT,3.01,2.55,0.17,0.24
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol_putoi_PCR_WMV_totaloi_CTVR_WMT_MROI,3.0,2.54,0.16,0.23
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol_putoi_PCR_WMV_totaloi_CTVR_WMT_MROI_calloi,177.01,166.42,67.67,79.67
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol_putoi_PCR_WMV_totaloi_CTVR_WMT_MROI_calloi_SWM,177.5,166.87,67.86,79.89
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol_putoi_PCR_WMV_totaloi_CTVR_WMT_MROI_calloi_SWM_ToiTVR,178.07,167.41,68.08,80.15
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol_putoi_PCR_WMV_totaloi_CTVR_WMT_MROI_calloi_SWM_ToiTVR_CToiR,178.04,167.38,68.07,80.14
iv30call_iv60call_iv90call_iv120call_iv150call_WMEP_putvol_iv180call_totalvol_CVPoi_iv360call_SM_WMD_callvol_putoi_PCR_WMV_totaloi_CTVR_WMT_MROI_calloi_SWM_ToiTVR_CToiR_WMG,2.8,2.16,0.09,0.05
