ExoVar,AIC,DiffAIC,PercentGainAIC
iv30call,1243.2501278608786,153.2015040793308,0.1097077052833365
iv60call,1244.805247445988,151.64638449422137,0.10859408304999874
iv90call,1158.9253071038156,237.52632483639377,0.17009276898934064
iv120call,1207.9080643000611,188.54356764014824,0.13501618196269968
iv150call,1259.9042335907156,136.54739834949373,0.09778168840676335
iv180call,1311.6455482687415,84.80608367146783,0.060729696418944
iv360call,1382.3273674598167,14.12426448039264,0.010114395770921613
callvol,1422.1061110090818,-25.654479068872433,-0.01837119058196701
putvol,1430.5277762067237,-34.07614426651435,-0.02440195097854514
totalvol,1429.349565496209,-32.89793355599954,-0.023558233456529847
calloi,1429.6338617570186,-33.18222981680924,-0.023761818209705077
putoi,1433.3268998951364,-36.87526795492704,-0.026406405428946424
totaloi,1431.8622916005734,-35.41065966036399,-0.02535759839470053
CTVR,1373.9881111902314,22.463520749977988,0.016086143075909835
CToiR,1391.1779710845863,5.27366085562312,0.0037764722637016602
ToiTVR,1429.9649616653692,-33.51332972515979,-0.023998919087943535
CVPoi,1420.0819965744295,-23.630364634220086,-0.016921720805602416
PCR,1390.3389985435606,6.112633396648789,0.004377261092928787
SM,1377.6801980176726,18.771433922536744,0.013442237090915916
SWM,1359.0156750014253,37.4359569387841,0.02680791520632271
WMEP,1296.5302834522834,99.92134848792602,0.0715537482305039
MROI,1404.0077122994862,-7.556080359276848,-0.005410914482428969
WMD,1364.654876856337,31.796755083872313,0.022769678774834736
WMG,1393.923516714844,2.5281152253653545,0.0018103850985893642
WMT,1387.714524597362,8.737107342847366,0.006256648739568701
WMV,1393.655114967798,2.796516972411382,0.0020025877792315245
