ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
iv90call,1.81,1.68,-0.1,-0.11
iv90call_iv120call,1.73,1.61,-0.14,-0.15
iv90call_iv120call_iv30call,1.73,1.61,-0.14,-0.15
iv90call_iv120call_iv30call_iv60call,1.72,1.6,-0.15,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call,1.93,1.81,-0.04,-0.04
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP,1.82,1.69,-0.1,-0.1
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call,1.67,1.55,-0.17,-0.18
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM,1.72,1.59,-0.15,-0.16
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD,1.73,1.61,-0.14,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR,1.73,1.61,-0.14,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM,1.73,1.61,-0.14,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call,1.71,1.58,-0.15,-0.16
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT,1.74,1.61,-0.14,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR,1.73,1.6,-0.14,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR_CToiR,1.72,1.6,-0.15,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR_CToiR_WMV,1.72,1.6,-0.15,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR_CToiR_WMV_WMG,1.77,1.64,-0.12,-0.13
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR_CToiR_WMV_WMG_MROI,1.77,1.65,-0.12,-0.13
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR_CToiR_WMV_WMG_MROI_CVPoi,1.77,1.64,-0.12,-0.13
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR_CToiR_WMV_WMG_MROI_CVPoi_callvol,1.73,1.61,-0.14,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR_CToiR_WMV_WMG_MROI_CVPoi_callvol_totalvol,1.73,1.61,-0.14,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR_CToiR_WMV_WMG_MROI_CVPoi_callvol_totalvol_calloi,1.73,1.61,-0.14,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR_CToiR_WMV_WMG_MROI_CVPoi_callvol_totalvol_calloi_ToiTVR,1.74,1.61,-0.14,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR_CToiR_WMV_WMG_MROI_CVPoi_callvol_totalvol_calloi_ToiTVR_putvol,1.74,1.61,-0.14,-0.15
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR_CToiR_WMV_WMG_MROI_CVPoi_callvol_totalvol_calloi_ToiTVR_putvol_totaloi,1.74,1.62,-0.14,-0.14
iv90call_iv120call_iv30call_iv60call_iv150call_WMEP_iv180call_SWM_WMD_CTVR_SM_iv360call_WMT_PCR_CToiR_WMV_WMG_MROI_CVPoi_callvol_totalvol_calloi_ToiTVR_putvol_totaloi_putoi,1.74,1.62,-0.14,-0.14
