ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
WMEP,2.83,2.49,-0.02,-0.02
WMEP_iv120call,2.86,2.52,-0.01,-0.01
WMEP_iv120call_iv150call,2.84,2.51,-0.01,-0.01
WMEP_iv120call_iv150call_iv90call,2.85,2.52,-0.01,-0.01
WMEP_iv120call_iv150call_iv90call_iv60call,2.85,2.52,-0.01,-0.01
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call,2.86,2.53,-0.01,-0.0
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV,2.84,2.51,-0.01,-0.01
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call,2.86,2.52,-0.01,-0.01
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi,2.83,2.49,-0.01,-0.02
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI,2.85,2.51,-0.01,-0.01
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR,2.75,2.41,-0.04,-0.05
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM,2.75,2.42,-0.04,-0.05
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM,2.77,2.44,-0.04,-0.04
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD,2.84,2.5,-0.01,-0.01
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD_WMG,2.84,2.5,-0.01,-0.01
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD_WMG_PCR,2.79,2.47,-0.03,-0.03
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD_WMG_PCR_WMT,2.79,2.45,-0.03,-0.03
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD_WMG_PCR_WMT_CToiR,2.79,2.46,-0.03,-0.03
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD_WMG_PCR_WMT_CToiR_putvol,2.78,2.45,-0.03,-0.04
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD_WMG_PCR_WMT_CToiR_putvol_CVPoi,2.76,2.43,-0.04,-0.04
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD_WMG_PCR_WMT_CToiR_putvol_CVPoi_iv360call,2.74,2.4,-0.05,-0.05
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD_WMG_PCR_WMT_CToiR_putvol_CVPoi_iv360call_totaloi,2.8,2.46,-0.03,-0.03
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD_WMG_PCR_WMT_CToiR_putvol_CVPoi_iv360call_totaloi_callvol,2.82,2.48,-0.02,-0.02
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD_WMG_PCR_WMT_CToiR_putvol_CVPoi_iv360call_totaloi_callvol_putoi,2.76,2.43,-0.04,-0.04
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD_WMG_PCR_WMT_CToiR_putvol_CVPoi_iv360call_totaloi_callvol_putoi_totalvol,2.76,2.42,-0.04,-0.04
WMEP_iv120call_iv150call_iv90call_iv60call_iv180call_WMV_iv30call_calloi_MROI_CTVR_SWM_SM_WMD_WMG_PCR_WMT_CToiR_putvol_CVPoi_iv360call_totaloi_callvol_putoi_totalvol_ToiTVR,2.76,2.43,-0.04,-0.04
