ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
iv90call,5.37,5.12,-0.12,-0.12
iv90call_iv120call,5.36,5.1,-0.12,-0.12
iv90call_iv120call_iv150call,5.36,5.1,-0.12,-0.12
iv90call_iv120call_iv150call_iv60call,5.37,5.12,-0.12,-0.12
iv90call_iv120call_iv150call_iv60call_iv180call,5.33,5.07,-0.12,-0.13
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call,5.35,5.1,-0.12,-0.12
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM,5.35,5.09,-0.12,-0.12
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call,6.0,5.72,-0.01,-0.01
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP,5.37,5.11,-0.12,-0.12
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR,5.35,5.09,-0.12,-0.12
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD,5.32,5.06,-0.12,-0.13
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol,5.79,5.5,-0.05,-0.05
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT,5.8,5.51,-0.05,-0.05
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM,5.7,5.41,-0.06,-0.07
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM_WMG,5.69,5.4,-0.06,-0.07
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM_WMG_WMV,5.69,5.4,-0.06,-0.07
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM_WMG_WMV_PCR,5.7,5.42,-0.06,-0.07
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM_WMG_WMV_PCR_calloi,5.72,5.43,-0.06,-0.06
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM_WMG_WMV_PCR_calloi_CVPoi,5.72,5.43,-0.06,-0.07
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM_WMG_WMV_PCR_calloi_CVPoi_totalvol,5.71,5.42,-0.06,-0.07
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM_WMG_WMV_PCR_calloi_CVPoi_totalvol_putvol,5.7,5.42,-0.06,-0.07
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM_WMG_WMV_PCR_calloi_CVPoi_totalvol_putvol_CToiR,5.7,5.41,-0.06,-0.07
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM_WMG_WMV_PCR_calloi_CVPoi_totalvol_putvol_CToiR_totaloi,5.69,5.41,-0.06,-0.07
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM_WMG_WMV_PCR_calloi_CVPoi_totalvol_putvol_CToiR_totaloi_ToiTVR,5.71,5.42,-0.06,-0.07
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM_WMG_WMV_PCR_calloi_CVPoi_totalvol_putvol_CToiR_totaloi_ToiTVR_MROI,5.72,5.43,-0.06,-0.06
iv90call_iv120call_iv150call_iv60call_iv180call_iv30call_SM_iv360call_WMEP_CTVR_WMD_callvol_WMT_SWM_WMG_WMV_PCR_calloi_CVPoi_totalvol_putvol_CToiR_totaloi_ToiTVR_MROI_putoi,5.72,5.43,-0.06,-0.07
